,timestamp,value
0,2015-02-26 21:42:53,104
1,2015-02-26 21:47:53,100
2,2015-02-26 21:52:53,99
3,2015-02-26 21:57:53,154
4,2015-02-26 22:02:53,120
5,2015-02-26 22:07:53,90
6,2015-02-26 22:12:53,92
7,2015-02-26 22:17:53,71
8,2015-02-26 22:22:53,339
9,2015-02-26 22:27:53,178
10,2015-02-26 22:32:53,144
11,2015-02-26 22:37:53,143
12,2015-02-26 22:42:53,179
13,2015-02-26 22:47:53,245
14,2015-02-26 22:52:53,166
15,2015-02-26 22:57:53,139
16,2015-02-26 23:02:53,112
17,2015-02-26 23:07:53,95
18,2015-02-26 23:12:53,70
19,2015-02-26 23:17:53,74
20,2015-02-26 23:22:53,88
21,2015-02-26 23:27:53,75
22,2015-02-26 23:32:53,77
23,2015-02-26 23:37:53,110
24,2015-02-26 23:42:53,83
25,2015-02-26 23:47:53,66
26,2015-02-26 23:52:53,59
27,2015-02-26 23:57:53,64
28,2015-02-27 00:02:53,72
29,2015-02-27 00:07:53,71
30,2015-02-27 00:12:53,53
31,2015-02-27 00:17:53,61
32,2015-02-27 00:22:53,73
33,2015-02-27 00:27:53,71
34,2015-02-27 00:32:53,66
35,2015-02-27 00:37:53,42
36,2015-02-27 00:42:53,59
37,2015-02-27 00:47:53,39
38,2015-02-27 00:52:53,49
39,2015-02-27 00:57:53,51
40,2015-02-27 01:02:53,44
41,2015-02-27 01:07:53,45
42,2015-02-27 01:12:53,36
43,2015-02-27 01:17:53,36
44,2015-02-27 01:22:53,34
45,2015-02-27 01:27:53,45
46,2015-02-27 01:32:53,45
47,2015-02-27 01:37:53,42
48,2015-02-27 01:42:53,61
49,2015-02-27 01:47:53,50
50,2015-02-27 01:52:53,43
51,2015-02-27 01:57:53,46
52,2015-02-27 02:02:53,41
53,2015-02-27 02:07:53,61
54,2015-02-27 02:12:53,171
55,2015-02-27 02:17:53,95
56,2015-02-27 02:22:53,60
57,2015-02-27 02:27:53,65
58,2015-02-27 02:32:53,55
59,2015-02-27 02:37:53,58
60,2015-02-27 02:42:53,51
61,2015-02-27 02:47:53,48
62,2015-02-27 02:52:53,42
63,2015-02-27 02:57:53,35
64,2015-02-27 03:02:53,37
65,2015-02-27 03:07:53,35
66,2015-02-27 03:12:53,33
67,2015-02-27 03:17:53,44
68,2015-02-27 03:22:53,93
